Id,Label,timeset,Name_Chinese,Name_English,URL,indegree,number of investment events,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
1393736,,,正轩投资,,https://data.cyzone.cn/capital/1393736.html,3,32,6,9,5,0.362826,0.383648,28.184815
1399126,,,合一资本,,https://data.cyzone.cn/capital/1399126.html,8,32,7,15,5,0.379484,0.4046,217.215378
1394619,,,零一创投,,https://data.cyzone.cn/capital/1394619.html,9,32,8,17,4,0.404434,0.433365,285.427147
1409175,,,辰海资本,,https://data.cyzone.cn/capital/1409175.html,13,32,13,26,4,0.425926,0.457309,306.53611
3006448,,,百度风投,,https://data.cyzone.cn/capital/3006448.html,15,32,19,34,4,0.425241,0.462193,611.976882
3019756,,,天神娱乐,,https://data.cyzone.cn/capital/3019756.html,10,32,5,15,4,0.396552,0.42281,267.094516
1395730,,,挑战者资本,,https://data.cyzone.cn/capital/1395730.html,7,32,7,14,4,0.386131,0.412728,70.05625
1399600,,,常州高新投,,https://data.cyzone.cn/capital/1399600.html,4,32,8,12,5,0.373324,0.395148,34.274021
1160314,,,优客工场,,https://data.cyzone.cn/capital/1160314.html,5,32,4,9,4,0.362329,0.383585,35.526939
3142670,,,和盟创投,,https://data.cyzone.cn/capital/3142670.html,7,32,5,12,4,0.350563,0.372873,79.506496
1395575,,,泰达科投,,https://data.cyzone.cn/capital/1395575.html,5,32,8,13,5,0.388114,0.412634,97.568569
1393471,,,光信资本,,https://data.cyzone.cn/capital/1393471.html,11,32,14,25,4,0.418182,0.449748,95.821321
3019767,,,天使投资人王刚,,https://data.cyzone.cn/capital/3019767.html,13,32,13,26,4,0.421514,0.452426,205.390503
1405093,,,建信资本,,https://data.cyzone.cn/capital/1405093.html,1,32,9,10,4,0.401061,0.424543,136.667364
3536758,,,西部资本,,https://data.cyzone.cn/capital/3536758.html,7,32,11,18,5,0.402281,0.430592,227.832289
1393244,,,红点创投,,https://data.cyzone.cn/capital/1393244.html,13,31,18,31,4,0.423539,0.456837,113.24804
1393357,,,云启资本,,https://data.cyzone.cn/capital/1393357.html,19,31,24,43,4,0.455642,0.492439,329.52966
1399548,,,嘉实资本,,https://data.cyzone.cn/capital/1399548.html,1,31,7,8,5,0.346431,0.363705,55.611985
1396005,,,创新谷Innovalley,,https://data.cyzone.cn/capital/1396005.html,7,31,13,20,4,0.385569,0.415721,127.55365
1401835,,,易津资本,,https://data.cyzone.cn/capital/1401835.html,3,31,4,7,5,0.361833,0.381033,15.324158
1399236,,,温氏投资,,https://data.cyzone.cn/capital/1399236.html,4,31,4,8,5,0.356469,0.37574,48.301931
1394797,,,水木资本,,https://data.cyzone.cn/capital/1394797.html,6,31,8,14,4,0.377318,0.402489,50.488866
3266332,,,海邦投资,,https://data.cyzone.cn/capital/3266332.html,5,31,5,10,5,0.347569,0.366541,74.043876
1393645,,,武岳峰资本,,https://data.cyzone.cn/capital/1393645.html,5,31,6,11,5,0.349636,0.369912,105.100829
1395530,,,翊翎资本,,https://data.cyzone.cn/capital/1395530.html,8,31,4,12,4,0.394776,0.420605,148.324598
1394801,,,浙江浙大友创投资管理有限公司,,https://data.cyzone.cn/capital/1394801.html,3,31,2,5,5,0.317909,0.332262,8.568984
3010488,,,芳晟基金,,https://data.cyzone.cn/capital/3010488.html,9,31,6,15,4,0.396849,0.424071,140.730372
3016490,,,龙城英才创业投资引导基金,,https://data.cyzone.cn/capital/3016490.html,3,31,7,10,4,0.380302,0.402962,64.299345
1400436,,,招商局创投,,https://data.cyzone.cn/capital/1400436.html,12,30,8,20,4,0.407864,0.438406,106.687589
1402053,,,嘉道谷投资,,https://data.cyzone.cn/capital/1402053.html,5,30,7,12,4,0.385569,0.410838,40.428773
3008288,,,中国农发重点建设基金,,https://data.cyzone.cn/capital/3008288.html,2,30,2,4,6,0.264765,0.274638,9.82696
1131334,,,爱奇艺,,https://data.cyzone.cn/capital/1131334.html,7,30,2,9,5,0.360109,0.381884,21.064423
3018903,,,上投摩根,,https://data.cyzone.cn/capital/3018903.html,4,30,2,6,5,0.313389,0.330687,8.05798
1398761,,,中民投,,https://data.cyzone.cn/capital/1398761.html,3,30,9,12,4,0.380302,0.403907,60.15144
1393693,,,愉悦资本,,https://data.cyzone.cn/capital/1393693.html,20,30,16,36,4,0.434675,0.470227,271.665599
1395515,,,盈信资本,,https://data.cyzone.cn/capital/1395515.html,7,30,7,14,4,0.378127,0.402962,44.772785
1154902,,,华策影视,,https://data.cyzone.cn/capital/1154902.html,5,30,4,9,4,0.370448,0.391462,26.447569
